Grand Rapids Township,1,113512.5
Fort Mill,1,173570.86458333334
York,1,130007.12890625
York,2,131141.20442708334
Fort Mill,2,143655.0234375
Grand Rapids Township,2,117687.5
York,3,125353.58333333333
Grand Rapids Township,3,122569.72916666667
Fort Mill,3,153952.77083333334
Grand Rapids Township,4,121836.10416666667
York,4,131909.16666666666
Fort Mill,4,154567.2421875
York,5,126737.5
Grand Rapids Township,5,120388.33333333333
Fort Mill,5,185398.39583333334
York,6,144281.78580729166
Grand Rapids Township,6,105331.33333333333
Fort Mill,6,179462.33203125
Grand Rapids Township,7,97366.66666666667
Fort Mill,7,193712.54557291666
York,7,143223.75
Fort Mill,8,227508.49869791666
Grand Rapids Township,8,184576.75390625
York,8,140481.55859375
York,9,133149.41080729166
Fort Mill,9,217086.60416666666
Grand Rapids Township,9,193743.96875
Fort Mill,10,223980.46614583334
York,10,153257.29166666666
Grand Rapids Township,10,205902.88541666666
Grand Rapids Township,11,204626.23958333334
York,11,138103.34114583334
Fort Mill,11,227379.16666666666
York,12,120607.25911458333
Grand Rapids Township,12,204774.74479166666
Fort Mill,12,225408.33333333334
